"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","BayArea","-","Google","硕士","1/4","1-3年","在职跳槽","-","码农类General","全职","3","下周去面特别硬和amz","IC (Individual Contributor 技术岗，不管人)","null","谷歌T3普通球？","tytytyww","-","有个package","-","7-9月","内推","1.538872265529E12","http://www.1point3acres.com/bbs/thread-444432-1-1.html","2018","TrailItem"
"yes","Greater Seattle Area","-","Airbnb","硕士","25-25-25-25","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","3","Vmware","IC (Individual Contributor 技术岗，不管人)","null","爱彼迎 2018 New Grad 包","tangzhou0227","-","11000","去","10-12月","内推","1.538872268073E12","http://www.1point3acres.com/bbs/thread-300607-1-1.html","2017","TrailItem"
"-","BayArea","Turo","-","硕士","4years","3个月-1年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","神速 startup 报价","天择","-","-","-","7-9月","Other","1.538872268134E12","http://www.1point3acres.com/bbs/thread-438641-1-1.html","2018","TrailItem"
"-","Greater New York Area","-","Bloomberg","硕士","-","3-5年","在职跳槽","-","码农类General","全职","-","无","IC (Individual Contributor 技术岗，不管人)","null","bloomberg senior sde 三年经验","xuanyue","-","10000","打算去","7-9月","猎头","1.538872268348E12","http://www.1point3acres.com/bbs/thread-445295-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","4","3-5年","在职跳槽","-","码农类General","全职","4","Apple Pure Storage etc","IC (Individual Contributor 技术岗，不管人)","null","狗狗T4mtv 包裹","attaboyheart","-","-","应该去了","7-9月","内推","1.53887226892E12","http://www.1point3acres.com/bbs/thread-442448-1-1.html","2018","TrailItem"
"根据级别和表现refresh","BayArea","-","Facebook","硕士","25/25/25/25","1-3年","在职跳槽","给办","分析|数据科学类","全职","4","-","IC (Individual Contributor 技术岗，不管人)","null","FB DS 包裹","AgentZero_","-","25k","-","7-9月","网上海投","1.538872269594E12","http://www.1point3acres.com/bbs/thread-439741-1-1.html","2018","TrailItem"
"-","Greater Boston Area","-","Wayfair","硕士","N/A","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","Wayfair 自定义包","thisisztx","-","-","-","7-9月","猎头","1.538872269908E12","http://www.1point3acres.com/bbs/thread-444784-1-1.html","2018","TrailItem"
"-","-","Amazon","IC (Individual Contributor 技术岗，不管人)","硕士","您的积分不足。关于如何获得积分，请参考新手上路指南总帖：
http://www.1point3acres.com/bbs/thread-71069-1-1.html","5-10年","在职跳槽","120k+20k( 马上有脸家NYC的面试）","码农类General","全职","您的积分不足。关于如何获得积分，请参考新手上路指南总帖：
http://www.1point3acres.com/bbs/thread-71069-1-1.html","10000","-","null","如何跟亚麻家谈offer","hj330ray","不确定，纠结中","您的积分不足。关于如何获得积分，请参考新手上路指南总帖：
http://www.1point3acres.com/bbs/thread-71069-1-1.html","已经有绿卡","7-9月","猎头","1.538872270271E12","http://www.1point3acres.com/bbs/thread-435552-1-1.html","2018","TrailItem"
"-","BayArea","-","-","硕士","quarterly","11-15年","在职跳槽","已有","电路/电子/半导体类","全职","-","正在等","Other","null","湾区AR startup 包裹求建议","sotonren","-","none","不确定，请求大家建议","7-9月","猎头","1.538872270651E12","http://www.1point3acres.com/bbs/thread-436889-1-1.html","2018","TrailItem"
"没听说过","BayArea","-","Amazon","硕士","5-15-40-40","5-10年","在职跳槽","-","码农类General","全职","5","-","IC (Individual Contributor 技术岗，不管人)","null","弯曲亚麻5级包","helloterran","-","-","-","4-6月","猎头","1.538872272667E12","http://www.1point3acres.com/bbs/thread-396548-1-1.html","2018","TrailItem"
"-","BayArea","SAP Labs","-","硕士","N/A","3个月-1年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","SAP 下一个天才项目 包裹","svdreamer","-","-","从了","7-9月","网上海投","1.538872273209E12","http://www.1point3acres.com/bbs/thread-445183-1-1.html","2018","TrailItem"
"-","BayArea","-","Linkedin","博士","25% * 4","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","铃音诚意包","163","-","-","-","4-6月","内推","1.538872273234E12","http://www.1point3acres.com/bbs/thread-423507-1-1.html","2018","TrailItem"
"-","BayArea","-","Facebook","硕士","25 25 25 25","1-3年","在职跳槽","-","码农类General","全职","4","Google, Oracle, Microsoft","IC (Individual Contributor 技术岗，不管人)","null","Facebook","707213056","-","-","满意，不知道","7-9月","内推","1.538872274885E12","http://www.1point3acres.com/bbs/thread-443050-1-1.html","2018","TrailItem"
"unknown","BayArea","-","Apple","硕士","4 years","1-3年","在职跳槽","入职六个月后给办","码农类General","全职","3","NA","IC (Individual Contributor 技术岗，不管人)","null","水果家硬件dept的软件包","可可可可","unknown","标准包","-","4-6月","网上海投","1.5388722752E12","http://www.1point3acres.com/bbs/thread-426444-1-1.html","2018","TrailItem"
"-","BayArea","EA","-","博士","1/3 first year, and then 1/6 every 6 months","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","还在等亚马逊的最终offer，和google的interview的结果","IC (Individual Contributor 技术岗，不管人)","null","美国艺电EA包裹AI Engineer II","srs90324","-","yes","-","7-9月","网上海投","1.538872275918E12","http://www.1point3acres.com/bbs/thread-442920-1-1.html","2018","TrailItem"
"-","Greater New York Area","-","GoldmanSachs","本科","-","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","Goldman Sachs Offer","rosemary_ran","-","-","Accepted","4-6月","Other","1.538872277153E12","http://www.1point3acres.com/bbs/thread-444827-1-1.html","2018","TrailItem"
"-","BayArea","Airbnb","Google","硕士","25 25 25 25","1-3年","在职跳槽","-","码农类General","全职","-","Airbnb","IC (Individual Contributor 技术岗，不管人)","null","Google pkg","siren01","-","N/A","N/A","7-9月","猎头","1.538872277198E12","http://www.1point3acres.com/bbs/thread-445576-1-1.html","2018","TrailItem"
"-","Canada","Amazon","Microsoft","博士","20%,20%,20%,20%,20%","3-5年","在职跳槽","一年后办枫叶卡","码农类General","全职","","Amazon","-","null","贡献加拿大微软Senior数据点","idoggy","-","C$6.5K","不去","1-3月","网上海投","1.538872277889E12","http://www.1point3acres.com/bbs/thread-275427-1-1.html","2017","TrailItem"
